country,iso3,has_elections,last_election_date,next_election_date,voting_method,biometric_voter_reg,biometric_voter_verify,electronic_results_tx,evoting,vendor,confidence,source,notes
Estonia,EST,Y,2023-03-05,2027-03-07,Mixed,N,N,Y,Y,RIA (in-house),High,https://odihr.osce.org/odihr/elections/estonia/551251,"2023년 국회의원선거 총투표의 51%가 i-Voting(인터넷투표). 전자신분증/Mobile-ID/Smart-ID로 본인확인. 종이투표 병행. RIA가 자체 개발·운영. ODIHR: 경쟁적·다원적 선거로 평가."
Latvia,LVA,Y,2022-10-01,2026-10-03,Mixed,N,N,Y,N,None,High,https://www.osce.org/odihr/elections/latvia/541056,"2022년 사에이마 선거. 개표소에 광학스캔 장비(선택적) 도입. 전자 유권자 명부 중앙집중화. 결과는 디지털 프로토콜로 인터넷 전송. 다음 선거 2026년 10월 3일 예정."
Lithuania,LTU,Y,2024-10-13,2028-10-01,Paper,N,N,Y,N,None,High,https://www.vrk.lt/en/2024-seimo/rezultatai,"2024년 세이마스 선거(1·2라운드: 10/13, 10/27). 전자투표 도입 불가 결정(총리: 100% 보안 보장 전까지 불가). 전자 유권자 명부 사용. 결과는 전자 전송. 전통적 종이투표."
Belarus,BLR,Limited,2025-01-26,2030-01-01,Paper,N,N,N,N,None,High,https://www.europarl.europa.eu/cmsdata/290629/Non-Paper%20on%20Belarus%202025%20So-Called%20Presidential%20Election.pdf,"루카셴코 2025년 1월 88% 득표 주장. OSCE/ODIHR 초청 10일 전 발송으로 관찰 불가. EU·영국·캐나다 등 부정선거 규탄. 1200명 이상 정치범. 독립 미디어 폐쇄. 사실상 권위주의 체제. 종이투표이나 결과 조작 의혹."
Ukraine,UKR,Limited,2019-07-21,TBD,Paper,N,N,N,N,None,High,https://www.jurist.org/news/2025/02/ukraine-parliament-affirms-no-elections-during-wartime-under-martial-law/,"계엄령 시행 중(2022년 2월~ 2026년 8월까지 연장 중) 선거 법적으로 불가. 2024년 예정 대통령선거 연기. 2025년 2월 의회 결의로 계엄 중 선거 불실시 재확인. 휴전 후 6개월 이내 선거 예정. 마지막 선거: 2019년 7월 의회선거."
Moldova,MDA,Y,2025-09-28,2029-09-01,Paper,N,N,Y,N,None,High,https://www.osce.org/odihr/elections/moldova/588014,"2025년 9월 의회선거(PAS 55석 획득). 2024년 10월 대통령선거(사두 재선). 종이투표. 국가자동화정보시스템(SAIS) 이용 유권자 확인 및 결과전송. 해외 우편투표 도입(6개국). EU 사이버신속대응팀 파견."
Russia,RUS,Limited,2024-03-17,2026-09-20,Mixed,N,N,Y,Limited,In-house (Exonum blockchain),High,https://www.oii.ox.ac.uk/2024-russian-presidential-elections-how-digital-technologies-are-used-to-wield-authoritarian-power/,"2024년 3월 대통령선거(푸틴 재선). DEG(원격전자투표) 29개 지역 약 400만명 이용. 비공개 블록체인(Exonum) 기반. 독립 감시 불가. 2026년 9월 하원(두마)선거 예정 - DEG 전국 확대 계획 보류. 제한적 민주주의."
Georgia,GEO,Y,2024-10-26,2028-10-01,OMR,Y,Y,Y,N,Smartmatic,High,https://www.smartmatic.com/us/all-case-studies/georgia-a-gradual-path-to-election-modernization/,"2024년 10월 의회선거. Smartmatic bScan Precinct 1800Plus 광학스캐너 전국 도입(약 75% 투표소·90% 유권자 커버). VIU(Voter Identification Unit-800)로 생체 본인확인. 결과 전자 전송. Georgian Dream 53.9% 승리. Pro V&V 독립감사 실시."
Armenia,ARM,Y,2026-06-07,2030-06-01,Paper,N,Y,Y,N,None (VAD in-house),High,https://odihr.osce.org/node/662896,"2026년 6월 7일 의회선거(투표율 58.9%). VAD(유권자 인증기기)로 전자 유권자 명부 확인(오프라인 전자목록). 결과 전자 전송. ODIHR EOM 파견. 2021년 조기총선 이후 파시냔 집권 지속. 순수 전자투표 없음."
Azerbaijan,AZE,Limited,2024-09-01,2029-09-01,Paper,N,N,N,N,None,Med,https://odihr.osce.org/odihr/elections/azerbaijan/586800,"2024년 2월 대통령선거·9월 의회선거(조기). ODIHR: 진정한 정치적 대안 부재, 투표함 투입 의심, 복수투표 방지 장치 미흡, 개표 불투명. 종이투표 사용. 생체·전자 시스템 도입 근거 없음. 제한적 민주주의(Freedom House: Not Free)."
