country,iso3,has_elections,last_election_date,next_election_date,voting_method,biometric_voter_reg,biometric_voter_verify,electronic_results_tx,evoting,vendor,confidence,source,notes
Antigua and Barbuda,ATG,Y,2023-01-18,2028-01-18,Paper,N,N,N,N,,Medium,OAS EOM 2023 / IFES electionguide.org,단순 다수결 17개 선거구; 전자화 없음
Argentina,ARG,Y,2025-10-26,2027-10-24,Mixed,Y,Y,Partial,Partial,"Smartmatic(생체인증); MSA(CABA BUE)",High,argentina.gob.ar / Smartmatic case study,전국=Boleta Única de Papel(종이); CABA 한정 BUE(전자종이투표); 생체인증(Smartmatic) 전국 적용; TREP은 예비결과만 전자전송
Bahamas,BHS,Y,2026-05-12,2031-05,Paper,Partial,Partial,N,N,CBN(생체카드),High,Biometric Update 2026-01 / electionguide.org,2026년 신규 생체인식 투표ID카드 도입; 전자투표 없음; e-pollbook 법제화됐으나 미배치
Barbados,BRB,Y,2026-02-11,2031-02,Paper,Partial,N,N,N,,High,Electoral & Boundaries Commission Barbados / IFES 2026,자동등록(전국 ID 연동); 투표소 생체인증 없음
Belize,BLZ,Y,2025-03-12,2030-03,Paper,N,N,N,N,,High,Elections and Boundaries Department Belize / IFES 2025,완전 종이 수기투표; 생체 등록 없음
Bolivia,BOL,Y,2025-08-17,2026-03,Paper,Y,Partial,Y,N,Smartmatic(생체등록); TSE DNTIC(SIREPRE),High,OAS EOM Bolivia 2025 / EU EOM Bolivia 2025,"전국 종이투표; 생체 유권자 등록(Smartmatic 구축); SIREPRE(모바일 앱 스캔→집계) 2025년 첫 운용; 투표소 현장 단말기 전면 배치는 미확인"
Brazil,BRA,Y,2022-10-30,2026-10-04,DRE,Y,Y,Y,Y,TSE(자체개발),High,tse.jus.br / international.tse.jus.br,"전국 DRE 1996년 도입; 약 1.41억명(89%) 지문등록 완료; 투표소 지문 실시간 인증; 암호화 위성/인터넷 결과전송; VVPAT 없음"
Canada,CAN,Y,2025-04-28,2029-04,Paper,N,N,N,N,Elections Canada(자체),High,elections.ca / Wikipedia 2025 Canadian federal election,완전 종이 수기투표; 2인 개표원 수작업 집계; 전자화 없음
Chile,CHL,Y,2025-11-16,2029-11,Paper,Partial,N,Y,N,SERVEL(자체),High,SERVEL servel.cl / Wikipedia 2025 Chilean election,자동 유권자 등록(국가 ID 기반); 투표소 생체인증 없음; 전자 개표 집계 공개(수기 개표 후 입력)
Colombia,COL,Y,2026-05-31,2030-05,Paper,Y,Partial,Y,N,Registraduría자체(과거 Indra),High,Registraduría Nacional / MOE Colombia 2026,"종이 수기투표; 지문 AFIS+안면인식 cédula; 투표소 현장 단말기 전면배치 미확인; TREP 2시간 내 90% 결과 공개"
Costa Rica,CRI,Y,2026-02-02,2030-02,Paper,Y,N,Y,N,TSE자체+TREP,Medium,TSE Costa Rica / OAS EOM 2026,종이 수기투표; 국가 ID 연동 자동등록; TREP 전자 결과 전송; 투표소 생체인증 없음
Cuba,CUB,Limited,2023-03-26,2028-03,Paper,N,N,N,N,ONA(국가선거위),High,Freedom House 2025 / Wikipedia Cuba elections,단일정당 비경쟁 선거; 국회가 국가평의회 의장(원수) 선출; Díaz-Canel 2023 재선임
Dominica,DMA,Y,2022-12-06,2027-12,Paper,N,N,N,N,,Medium,IFES electionguide.org / OAS EOM 2022,완전 종이 수기투표; 생체 시스템 없음
Dominican Republic,DOM,Y,2024-05-19,2028-05,OMR,Y,N,Y,N,JCE자체관리,High,JCE jce.gob.do / IFES 2024,"OMR 광학스캔 투표; 생체인식 cédula(9.4백만장 갱신 진행중); 전자 개표결과 전송; 투표소 생체인증 없음"
Ecuador,ECU,Y,2025-02-09,2029-02,Mixed,Y,Y,Y,Partial,CNE자체(SIER),High,CNE cne.gob.ec / EU EOM Ecuador 2025,"국내=종이투표; 해외=텔레마틱 전자투표(2023년 97,000명 시범); 생체 cédula 지문스캐너(일부 오작동); SIER 전자결과 시스템"
El Salvador,SLV,Y,2024-02-04,2027-02-28,Mixed,Y,Y,Y,Partial,Indra(해외투표 플랫폼),Medium,OAS EOM El Salvador 2024 / Latina Republic 2024,"국내=종이; 해외=인터넷투표(74만명)+DRE(81개 영사관센터); 안면인식 생체인증(해외); TREP; 2024 OAS 기술 불규칙성 지적"
Grenada,GRD,Y,2022-06-23,2027-06,Paper,Partial,N,N,N,,Medium,IFES electionguide.org / Commonwealth 2022,생체 유권자 명부 존재; 투표소 인증 없음; 완전 종이투표
