country,iso3,has_elections,last_election_date,next_election_date,voting_method,biometric_voter_reg,biometric_voter_verify,electronic_results_tx,evoting,vendor,confidence,source,notes
Afghanistan,AFG,N,2019-09-28,,Paper,N,N,N,N,,Low,IFES/IEC,"2021년 탈레반 집권 후 선거 중단. IEC 해체."
Australia,AUS,Y,2025-05-03,2028-05,Mixed,N,N,N,N,"AEC/Fujifilm (상원 스캔)",High,aec.gov.au,"하원 종이투표 수개표. 상원 Fujifilm OCR 스캔. 2025.5.3 총선 완료."
Bangladesh,BGD,Y,2026-02-12,,Paper,Y,N,Limited,N,"HID Global (NID)",High,ecs.gov.bd,"EVM 2025.7 영구 폐기(Tk 940크로르 손실). 생체 NID 기반 등록."
Bhutan,BTN,Y,2024-01-09,2028,EVM,N,N,Y,Y,"BEL + ECIL (인도)",High,ecb.bt,"인도 BEL+ECIL 제조 EVM 사용. ECB 공식 EVM 규정 운용. 5년 주기."
Brunei,BRN,N,,,N/A,N,N,N,N,,High,N/A,"1962년 이후 국가선거 없음. 절대 군주제(술탄)."
Cambodia,KHM,Limited,2023-07-23,2027-07,Paper,Y,N,N,N,NEC,High,necelect.org.kh,"CPP 단독집권. 야당 해산으로 실질 경쟁 없음. 5년 주기."
China,CHN,Limited,2023-03-05,2028,Mixed,N,N,Limited,N,"CNNIC/중국과학원",High,npc.gov.cn,"전국인민대표대회 간접선거. 공산당 일당제. 지방 인민대표 직접선거만."
Fiji,FJI,Y,2022-12-14,2026-11,Paper,Y,N,N,N,FEO/ESI,High,feo.org.fj,"ESI 납품. 생체 유권자 등록 완료. 2026 선거 준비 중."
India,IND,Y,2024-04-19,2029,EVM,N,N,Y,Y,"BEL + ECIL",High,eci.gov.in,"M3 EVM 전국 사용(100만대+). BEL+ECIL 제조(BHEL 아님). VVPat 병행. EPIC 사진 ID 있으나 지문/홍채 전면 시행 미완료."
Indonesia,IDN,Y,2024-02-14,2029-02,Paper,Y,N,Y,N,"KPU 자체개발(Sirekap)",High,kpu.go.id,"e-KTP 생체 등록. Sirekap=폴링스테이션 C용지 촬영→OCR→KPU서버. 2024년 1223개소 오류."
Japan,JPN,Y,2025-07-27,2029-07,Paper,N,N,N,N,"Murata Machinery(분류기)",High,soumu.go.jp,"종이투표 수개표. 분류기 보조. 2025.7 참의원선거 완료."
Kazakhstan,KAZ,Limited,2023-11-19,2027,Paper,N,N,N,N,CEC,High,election.gov.kz,"OSCE 민주성 비판. 2026.4 CEC 전자투표 공식 불채택 선언."
Kiribati,KIR,Y,2024-08-14,2028-08,Paper,N,N,N,N,ECD,Med,IFES/ECD,"33개 환초 분산 물류 도전. 종이투표 수개표."
Kyrgyzstan,KGZ,Limited,2024-11-24,2029,Mixed,Y,Y,Y,N,"MIRU Systems (한국)",High,shailoo.gov.kg,"MIRU Systems 5-in-1(BVR+지문현장인증+OMR+ERT) 배치 완료. Smartmatic는 2015 소규모 파일럿만."
Laos,LAO,Limited,2026-02-21,,Paper,N,N,N,N,"LPRP/NEO",High,laos-gov,"LPRP 일당제. NEO 선거관리. 2026.2 완료. 실질 경쟁 없음."
Malaysia,MYS,Y,2022-11-19,2027-11,Paper,N,N,N,N,SPR/EC,High,spr.gov.my,"GE15 완료. 생체인증 현장확인 제안단계(미시행). GE16 2027-2028."
Maldives,MDV,Y,2024-03-17,2029-03,Paper,Y,N,N,N,EC Maldives,High,elections.gov.mv,"2024 의회선거 완료. 생체 유권자 등록. 소도서 물류 과제."
Marshall Islands,MHL,Y,2023-11-20,2027-11,Paper,N,N,N,N,ESO,Med,IFES,"미국 Compact 국가. 종이투표. 인구 4만명."
Micronesia,FSM,Y,2023-03-07,2027-03,Paper,N,N,N,N,EC-FSM,Med,IFES,"미국 Compact 국가. 종이투표. 4개 주 연방제. 대통령 간선."
Mongolia,MNG,Y,2024-06-28,2028,OMR,Y,Y,Y,N,"Dominion Voting Systems (ImageCast)",High,gec.gov.mn,"Dominion ImageCast PCOS 3300대. 2012년부터 사용. 계약 만기 임박. 생체 현장인증."
Myanmar,MMR,Limited,2025-11-30,,EVM,Y,Y,Y,Y,"미공개(군부 조달)",Low,UEC,"2021 쿠데타 후 군부 통제. MEVM 도입(2025-26). 블록체인 ERT. 국제사회 사기선거 규탄."
Nauru,NRU,Y,2025-08-24,2028,Paper,N,N,N,N,Nauru EC,Med,IFES,"인구 1만명. 종이투표."
Nepal,NPL,Y,2026-03-15,2031,Paper,Y,N,Limited,N,"미공개",High,election.gov.np,"생체 국민ID 기반 등록. NID-유권자명부 통합. i-Voting 파일럿 검토."
New Zealand,NZL,Y,2023-10-14,2026-11-07,Paper,N,N,N,N,"Electoral Commission NZ",High,elections.org.nz,"종이투표 수개표. 2026.11.7 총선 확정. 온라인 유권자등록만."
North Korea,PRK,Limited,2024-10-27,,Paper,N,N,N,N,,High,KCNA,"찬반투표만. 단일후보. 실질 선거 아님."
Pakistan,PAK,Y,2024-02-08,2029,Paper,Y,Limited,Y,N,"NADRA Technologies",High,ecp.gov.pk,"NADRA 생체 NID 기반 등록. 2024 RTS 결과전송 논란(접속 장애). 현장 생체인증 제한적."
Palau,PLW,Y,2024-11-05,2028-11,OMR,N,N,N,N,"ES&S 계열",Med,Palau EC,"태평양 유일 광학스캐너 국가. 인구 1.8만명."
Papua New Guinea,PNG,Y,2022-07-04,2027,Paper,N,N,N,N,PNGEC,Med,pngec.org.pg,"500만+ 유권자. BVR 전무. 2027 도입 계획."
Philippines,PHL,Y,2025-05-12,2028-05,OMR,Y,Y,Y,N,"MIRU Systems (한국)",High,comelec.gov.ph,"2025 Smartmatic 퇴출→MIRU ACM 110,620대(₱17.9B). FASTrAC ERT. VVPAT."
Samoa,WSM,Y,2025-04-09,2030-04,Paper,Y,N,N,N,Samoa OEC,Med,oec.gov.ws,"2025 BVR 신규 도입. 종이투표."
Singapore,SGP,Y,2025-05-03,2030-05,Paper,N,N,N,N,ELD,High,eld.gov.sg,"ELD 운영. 종이투표. 2025.5.3 총선 완료. PAP 60년 집권."
Solomon Islands,SLB,Y,2024-04-17,2028,Paper,Y,N,N,N,SIEC,High,siec.gov.sb,"2024 총선 완료. BVR 있음. ERT 없음. 2028 공백 기회."
South Korea,KOR,Y,2025-06-03,2026-06,OMR,N,Limited,Y,N,"MIRU Systems + NEC",High,nec.go.kr,"종이투표+OMR 개표기. 2025.6.3 대선 완료. 2026.6 지방선거."
Sri Lanka,LKA,Y,2024-11-14,2029,Paper,N,N,Limited,N,"없음",High,elections.gov.lk,"2024 대선+총선. 생체화 0%. 현대화 모멘텀."
Taiwan,TWN,Y,2024-01-13,2028-01,Paper,N,N,N,N,"Chunghwa Telecom(집계만)",High,cec.gov.tw,"종이투표 수개표. 전산집계만. 강한 투명성 신뢰."
Tajikistan,TJK,Limited,2026-03-01,,Paper,N,N,N,N,"없음",High,OSCE/ODIHR,"라흐몬 30년 집권. OSCE 민주성 비판."
Thailand,THA,Y,2023-05-14,2027,Paper,N,N,Limited,N,ECT,High,ect.go.th,"종이투표 수개표. ECT Report는 집계 소프트웨어(OMR 아님). 2027 총선 예정."
Timor-Leste,TLS,Y,2023-05-22,2027-05,Paper,Y,N,N,N,STAE,High,stae.gov.tl,"STAE 운영. 생체 유권자등록. 종이투표. 인구 130만."
Tonga,TON,Y,2024-11-18,2029-11,Paper,N,N,N,N,Tonga ERO,Med,IFES,"종이투표. 인구 10만명. 귀족 9석+국민대표 17석."
Turkmenistan,TKM,N,2024-03-26,,Paper,N,N,N,N,,High,OSCE/ODIHR,"베르디무하메도프 세습 독재. OSCE 민주성 0점. 형식적 선거(N으로 분류)."
Tuvalu,TUV,Y,2024-01-26,2028,Paper,N,N,N,N,Tuvalu EC,Med,IFES,"인구 1.1만명. 최소규모 민주주의. 종이투표."
Uzbekistan,UZB,Limited,2024-10-27,2030,Mixed,Partial,N,Y,N,"CEC (파일럿 37대)",Med,CEC Uzbekistan,"2024 총선 EVM 37대 파일럿. 주투표는 종이. 2026 대선 전국확대 미확정."
