country,iso3,has_elections,last_election_date,next_election_date,voting_method,biometric_voter_reg,biometric_voter_verify,electronic_results_tx,evoting,vendor,confidence,source,notes
Afghanistan,AFG,N,2019-09-28,,Paper,N,N,N,N,,High,freedomhouse.org / aljazeera.com,"Taliban 2021 집권 후 선거위 해산; 선거 없음. 최후 선거: 2019 대선"
Australia,AUS,Y,2025-05-03,2028-05-01,Paper,N,N,N,N,,High,aec.gov.au,"연방선거 2025-05-03 완료. 종이투표 원칙; NSW iVote 2023년 폐기. 접근성 보조 전자기기 일부 사용"
Bangladesh,BGD,Y,2024-01-07,,Paper,Y,N,N,N,,High,ecs.gov.bd / thewire.in,"2024.1.7 총선: 전량 종이투표 (EVM 사용 철회). 국가 ID 카드 기반 생체등록(NID). 향후 선거도 EVM 배제 확정"
Bhutan,BTN,Y,2024-01-09,,EVM,N,N,N,Y,"BEL+ECIL (India EVM)",High,ecb.bt,"제4차 국회의원선거 2024.1.9 완료. EVM 사용 (제조사: BEL(방갈로르)+ECIL(하이더라바드) 인도산). 218273표 EVM+우편투표 108502표"
Brunei,BRN,N,2023-01-20,,Paper,N,N,N,N,,High,aceproject.org / ipu.org,"1962년 이후 직선 없음. 2023.1.20 임명제 의회(Legco) 형식 개최. 완전 절대군주제"
Cambodia,KHM,Limited,2023-07-23,2028-07-01,Paper,N,N,N,N,,High,anfrel.org / aljazeera.com,"2023 총선: 집권 CPP 125석 중 120석 독점. 주요 야당 참여 금지. 잉크 지문 표시 사용. 종이투표"
China,CHN,Limited,2023-03-05,2028-03-01,Paper,N,N,N,N,,High,npc.gov.cn,"간접선거(인민대표대회). CCP 지도 하 형식적 선거. 직접 국민투표 없음"
Fiji,FJI,Y,2022-12-14,2026-12-01,Paper,N,N,N,N,,High,feo.org.fj,"2022.12.14 총선 완료. 다음 선거 2026.6~2027.2 예정. 종이투표 (숫자 기반 우선순위 투표)"
India,IND,Y,2024-04-19,,EVM,N,N,N,Y,"BEL / ECIL (M3 EVM+VVPAT)",High,eci.gov.in,"2024 총선 4.19~6.1 (7단계). EVM+VVPAT 전국 사용. 제조사: BEL(방갈로르)/ECIL(하이더라바드). EPIC는 사진ID 카드만(지문·홍채 미시행). VVPAT 5% 표본검증"
Indonesia,IDN,Y,2024-02-14,2029-02-01,Paper,Y,Y,Y,N,"KPU (Sirekap 자체개발)",High,kpu.go.id / ifes.org,"2024.2.14 대선+총선 동시. 종이투표. e-KTP 기반 생체등록+투표소 지문확인. Sirekap 결과전송앱 사용(OCR 오류 논란). 2억명 이상 유권자"
Japan,JPN,Y,2025-07-20,2028-07-01,Paper,N,N,N,N,,High,soumu.go.jp,"2025.7.20 참의원 통상선거. 다음 선거 2028년(참의원 3년 주기). 전자투표 2018년 완전 폐지(25개 지자체 사용 후 단종)"
Kazakhstan,KAZ,Limited,2023-11-10,2028-11-01,Paper,N,N,N,N,,High,osce.org / election.gov.kz,"2023.11.10 의원선거. Sailau 전자투표 2011년 폐기. 현재 종이투표 전환. OSCE 민주주의 한계 지적"
Kiribati,KIR,Y,2024-08-14,2028-08-01,Paper,N,N,N,N,,Med,ipu.org,"2024.8.14 국회의원선거 완료. 태평양 소도서국, 종이투표. 다음 선거 ~2028"
Kyrgyzstan,KGZ,Limited,2025-11-30,2030-11-01,Paper,Y,Y,N,N,"VID-BP (한국산 5-in-1 시스템)",High,osce.org / odihr.osce.org,"2025.11.30 조기총선. '5-in-1' 한국제 생체인식 장치 도입(여권스캐너+지문인증+영상감시+투표지 인쇄 복합). MIRU 5-in-1 지문확인 포함. OSCE: 미디어 억압 지적"
Laos,LAO,Limited,2026-02-22,,Paper,N,N,N,N,,High,ipu.org,"2026.2.22 총선 완료. 일당(LPRP) 지배. 형식적 선거. 종이투표"
Malaysia,MYS,Y,2023-08-12,2027-08-01,Paper,N,N,N,N,,High,spr.gov.my,"2023.8 사바·서라왁 주선거. 자동선거인 등록(PPSA) 시행 중. 생체인식 등록 없음. 종이투표"
