country,iso3,has_elections,last_election_date,next_election_date,voting_method,biometric_voter_reg,biometric_voter_verify,electronic_results_tx,evoting,vendor,confidence,source,notes
France,FRA,Y,2024-07-07,2027-06-01,Paper,N,N,N,Limited,None,High,https://odihr.osce.org/odihr/elections/france,"전자투표기 2017 폐지→종이투표 복귀. 단, 해외 거주 시민 인터넷투표(iVote) 유지. 2024-07-07 총선(2차 결선투표 기준)."
Germany,DEU,Y,2025-02-23,2029-09-01,Paper,N,N,N,N,None,High,https://en.wikipedia.org/wiki/2025_German_federal_election,"2009 헌법재판소 전자투표기 위헌 판결 이후 순수 종이투표. 연방의회의원 선거 2025-02-23. 다음 선거 2029년 예정."
Netherlands,NLD,Y,2023-11-22,2027-11-01,Paper,N,N,N,N,None,High,https://en.wikipedia.org/wiki/2023_Dutch_general_election,"전자투표기 2017 폐지→연필+종이투표. 개표는 수작업. 2023-11-22 총선(하원), 다음 2027년 예정."
Belgium,BEL,Y,2024-06-09,2029-06-01,EVM,N,N,Y,Y,Smartmatic/Stesud,High,https://www.smartmatic.com/featured-case-studies/belgium-custom-voting-solution-enables-seamless-election-experiences-for-all-2/,"플랑드르·브뤼셀·독어공동체: Smartmatic bSmart 500 터치스크린+QR 프린터. 왈로니아: Stesud. 연방+지방+유럽의회 동시선거 2024-06-09. 다음 2029년."
Luxembourg,LUX,Y,2023-10-08,2028-10-01,Paper,N,N,N,N,None,High,https://en.wikipedia.org/wiki/2023_Luxembourg_general_election,"종이투표(panachage 허용: 다수 후보 지지 가능). 60석 하원 선거 2023-10-08. CSV-DP 연정. 다음 2028년 예정."
Austria,AUT,Y,2024-09-29,2029-09-01,Paper,N,N,N,N,None,High,https://odihr.osce.org/odihr/elections/austria/575838,"전자투표 법적 근거 없음. 종이투표(Stimmzettel). 우편투표 광범위 허용. 2024-09-29 총선(FPÖ 제1당). 다음 2029년."
Switzerland,CHE,Y,2023-10-22,2027-10-01,Mixed,N,N,N,Limited,Swiss Post,High,https://www.post.ch/en/about-us/profile/swiss-post-and-politics/swiss-post-in-the-digital-world/e-voting-electronic-vote-casting-for-switzerland,"연방선거·국민투표 대부분 종이우편투표. Swiss Post e-voting 2023년 3개 칸톤 시범 재개(~6.5만 명·1.2%). 2023-10-22 연방의회선거. 2024 Graubünden 칸톤 추가."
Liechtenstein,LIE,Y,2025-02-09,2029-02-01,Paper,N,N,N,N,None,High,https://en.wikipedia.org/wiki/2025_Liechtenstein_general_election,"25석 란드탁 선거 2025-02-09. 97% 우편투표. 투표소는 선거일 90분만 운영. 비례대표제(2선거구). 다음 2029년."
Monaco,MCO,Y,2023-02-05,2028-02-01,Paper,N,N,N,N,None,High,https://en.wikipedia.org/wiki/2023_Monegasque_general_election,"국민협의회(Conseil National) 24석 선거 2023-02-05. 혼합제(다수결16석+비례8석). panachage 허용. 종이투표. 다음 2028년 예정."
Andorra,AND,Y,2023-04-02,2027-04-01,Paper,N,N,N,N,None,High,https://en.wikipedia.org/wiki/2023_Andorran_parliamentary_election,"총의회(Consell General) 28석. 교구 14석+전국 14석 이중투표. 종이투표. 2023-04-02 선거. 다음 2027년 예정."
Spain,ESP,Y,2023-07-23,2027-08-01,Paper,N,N,N,N,None,High,https://odihr.osce.org/odihr/elections/spain/563427,"종이투표(정당이 인쇄·배포). ODIHR 긍정 평가. 2023-07-23 총선. 다음 최대 2027-08-22."
Portugal,PRT,Y,2025-05-18,2029-05-01,Paper,N,N,N,N,None,High,https://en.wikipedia.org/wiki/2025_Portuguese_legislative_election,"순수 종이투표. 온라인·전자 투표 없음. 의회 해산 반복→3번째 조기선거 2025-05-18. 다음 2029년 예정."
Italy,ITA,Y,2022-09-25,2027-09-01,Paper,N,N,N,N,None,High,https://en.wikipedia.org/wiki/2022_Italian_general_election,"50,000개 투표소·수작업 개표. 종이투표(하원=분홍, 상원=노랑). 전자투표 없음. 2022-09-25 총선. 다음 2027년."
Malta,MLT,Y,2026-05-30,2031-05-01,Paper,N,N,N,N,None,High,https://en.wikipedia.org/wiki/2026_Maltese_general_election,"STV(단기이양식) 비례대표. 13선거구×5석. 종이투표+수작업 선호이전 집계. 2026-05-30 조기총선(Labour 재집권). 다음 2031년."
